date,wind_speed_10m,wind_speed_100m,wind_speed_200m,wind_direction_10m,wind_direction_100m,wind_direction_200m,wind_gusts_10m,Zona_Favorable,Dia,Hora
2026-03-21 00:00:00-06:00,5.8412066,9.316551,10.72695751251938,187.104,176.50507,176.50507,11.52,Favorable,21-03-2026,0
2026-03-21 01:00:00-06:00,2.888195,6.313928,7.178841972467167,23.64523,17.423393,17.423393,10.26,No Favorable,21-03-2026,1
2026-03-21 02:00:00-06:00,4.14933,6.827327,7.97803391087881,346.88757,33.719315,33.719315,7.02,No Favorable,21-03-2026,2
2026-03-21 03:00:00-06:00,3.964097,8.672025,10.978892090763955,179.88162,67.81618,67.81618,8.1,Favorable,21-03-2026,3
2026-03-21 04:00:00-06:00,4.530417,8.814306,10.788744380259566,183.39983,64.967545,64.967545,8.28,Favorable,21-03-2026,4
2026-03-21 05:00:00-06:00,3.5564613,6.4451675,7.752692586948992,183.08907,54.803635,54.803635,8.46,Favorable,21-03-2026,5
2026-03-21 06:00:00-06:00,3.8464768,5.6820993,6.3983856233954555,352.98187,22.284542,22.284542,7.2,No Favorable,21-03-2026,6
2026-03-21 07:00:00-06:00,3.309392,5.87738,6.986873085967018,41.117405,21.672876,21.672876,9.360001,No Favorable,21-03-2026,7
2026-03-21 08:00:00-06:00,4.3183784,5.909951,6.513838644931575,106.04626,94.09398,94.09398,14.219999,Favorable,21-03-2026,8
2026-03-21 09:00:00-06:00,4.0221596,4.7485566,4.993076887999094,108.127014,97.54065,97.54065,16.56,Favorable,21-03-2026,9
2026-03-21 10:00:00-06:00,4.026539,4.3902445,4.506937247477757,149.52728,136.96342,136.96342,18.18,Favorable,21-03-2026,10
2026-03-21 11:00:00-06:00,9.380986,10.632235,11.040838975414847,181.95432,181.29562,181.29562,25.739998,Favorable,21-03-2026,11
2026-03-21 12:00:00-06:00,13.940678,16.514032,17.378176031974412,192.09686,192.64777,192.64777,33.84,Favorable,21-03-2026,12
2026-03-21 13:00:00-06:00,16.278187,20.21851,21.58214357761088,201.6475,202.92706,202.92706,38.519997,Favorable,21-03-2026,13
2026-03-21 14:00:00-06:00,15.089887,18.880402,20.19872279358118,213.23553,214.78302,214.78302,38.519997,Favorable,21-03-2026,14
2026-03-21 15:00:00-06:00,15.092939,18.986382,20.345029827238726,223.02748,223.38403,223.38403,36.36,Favorable,21-03-2026,15
2026-03-21 16:00:00-06:00,14.71748,18.638613,20.01393341970459,236.24518,238.3372,238.3372,35.46,Favorable,21-03-2026,16
2026-03-21 17:00:00-06:00,11.632477,15.096926,16.329495125796818,277.81305,282.28314,282.28314,34.02,No Favorable,21-03-2026,17
2026-03-21 18:00:00-06:00,9.661386,13.80267,15.373684167096973,314.1147,320.55542,320.55542,26.46,No Favorable,21-03-2026,18
2026-03-21 19:00:00-06:00,10.099085,16.810219,19.607456994824254,344.56024,345.76056,345.76056,20.34,No Favorable,21-03-2026,19
2026-03-21 20:00:00-06:00,9.314239,17.245926,20.80547907083342,351.2306,349.28296,349.28296,22.68,No Favorable,21-03-2026,20
